epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8326871991157532,0.44999584555625916,0.9196832776069641,0.24783499538898468,0.0010000000474974513
2,0.9118003249168396,0.25047066807746887,0.9253393411636353,0.21413888037204742,0.0010000000474974513
3,0.9275502562522888,0.21027377247810364,0.9343891143798828,0.19337232410907745,0.0010000000474974513
4,0.939059853553772,0.18499009311199188,0.9417420625686646,0.18320442736148834,0.0010000000474974513
5,0.9406348466873169,0.17344217002391815,0.9377828240394592,0.17707011103630066,0.0010000000474974513
6,0.9409983158111572,0.1698329746723175,0.9383484125137329,0.17627862095832825,0.0010000000474974513
7,0.9445117712020874,0.1537584513425827,0.9440045356750488,0.16214464604854584,0.0010000000474974513
8,0.9477828741073608,0.14867357909679413,0.9434388875961304,0.16248346865177155,0.0010000000474974513
9,0.9489943981170654,0.14482474327087402,0.9406108856201172,0.16643688082695007,0.0010000000474974513
10,0.951054036617279,0.14366087317466736,0.9377828240394592,0.1860317587852478,0.0010000000474974513
11,0.9560213088989258,0.1281357705593109,0.9457013607025146,0.15658992528915405,0.00020000000949949026
12,0.9546886086463928,0.13210321962833405,0.9485294222831726,0.1560909003019333,0.00020000000949949026
13,0.9586867094039917,0.1272130012512207,0.9496606588363647,0.15309470891952515,0.00020000000949949026
14,0.9566270709037781,0.12471742182970047,0.9457013607025146,0.15628381073474884,0.00020000000949949026
15,0.9562636017799377,0.12606441974639893,0.9462669491767883,0.15538373589515686,0.00020000000949949026
