metric,value
accuracy,0.9751552795031055
precision_macro,0.9746506040182003
recall_macro,0.977503906538128
f1_macro,0.9760343153783937
precision_weighted,0.9752528221524732
recall_weighted,0.9751552795031055
f1_weighted,0.9751654323811294
