epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.9563847780227661,0.1241646483540535,0.9524886608123779,0.14602814614772797,9.999999747378752e-06
2,0.9686212539672852,0.08977413177490234,0.959276020526886,0.13585413992404938,9.999999747378752e-06
3,0.9748001098632812,0.07251344621181488,0.9575791954994202,0.143107071518898,9.999999747378752e-06
4,0.9817058444023132,0.0563107505440712,0.9553167223930359,0.12322714179754257,9.999999747378752e-06
5,0.9829173684120178,0.04630669951438904,0.9638009071350098,0.11007210612297058,9.999999747378752e-06
6,0.9878846406936646,0.036934155970811844,0.962104082107544,0.11022792011499405,9.999999747378752e-06
7,0.9895808100700378,0.031574547290802,0.9615384340286255,0.1177239865064621,9.999999747378752e-06
8,0.9915192723274231,0.02641264535486698,0.9677602052688599,0.12029747664928436,9.999999747378752e-06
9,0.9961230754852295,0.016722222790122032,0.9711538553237915,0.10981237143278122,1.9999999949504854e-06
10,0.9967288374900818,0.014976538717746735,0.970588207244873,0.10800497233867645,1.9999999949504854e-06
11,0.9956384897232056,0.014967153780162334,0.9694570302963257,0.10675684362649918,1.9999999949504854e-06
12,0.9967288374900818,0.014905916526913643,0.9660633206367493,0.10950774699449539,1.9999999949504854e-06
13,0.9958807826042175,0.014535889029502869,0.9688913822174072,0.10928449779748917,1.9999999949504854e-06
14,0.9963654279708862,0.014442677609622478,0.9717194437980652,0.10791494697332382,1.9999999949504854e-06
15,0.9976980686187744,0.012465897016227245,0.970588207244873,0.10784151405096054,4.0000000467443897e-07
16,0.9974557757377625,0.012288697063922882,0.9688913822174072,0.10757733881473541,4.0000000467443897e-07
