class,precision,recall,f1_score,support
overripe,0.9556786703601108,0.9773371104815864,0.9663865546218487,353
ripe,0.9752380952380952,0.9678638941398866,0.9715370018975332,529
rotten,0.981574539363484,0.9718076285240465,0.9766666666666667,603
unripe,0.9861111111111112,0.993006993006993,0.9895470383275261,286
