metric,value
accuracy,0.974025974025974
precision_macro,0.9737998105578319
recall_macro,0.9772039662464411
f1_macro,0.9754372661815349
precision_weighted,0.9741392083134716
recall_weighted,0.974025974025974
f1_weighted,0.9740240081551297
