epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.9509328603744507,0.1309307962656021,0.9541855454444885,0.1327083706855774,9.999999747378752e-06
2,0.9660770297050476,0.09638287872076035,0.9575791954994202,0.12220612913370132,9.999999747378752e-06
3,0.9761328101158142,0.07404094934463501,0.962104082107544,0.1120932474732399,9.999999747378752e-06
4,0.978434681892395,0.06025763973593712,0.9598416090011597,0.10550364851951599,9.999999747378752e-06
5,0.9836443066596985,0.04904039576649666,0.9649321436882019,0.1081378236413002,9.999999747378752e-06
6,0.986188530921936,0.04095541313290596,0.9626696705818176,0.10378612577915192,9.999999747378752e-06
7,0.9901865720748901,0.032249387353658676,0.9694570302963257,0.10047738254070282,9.999999747378752e-06
8,0.992851972579956,0.02541700378060341,0.9700226187705994,0.09538862109184265,9.999999747378752e-06
9,0.9946692585945129,0.02103514038026333,0.9728506803512573,0.1032203659415245,9.999999747378752e-06
10,0.9958807826042175,0.015664897859096527,0.9717194437980652,0.0981254056096077,9.999999747378752e-06
11,0.9946692585945129,0.016944415867328644,0.9722850918769836,0.09681548923254013,9.999999747378752e-06
12,0.9975769519805908,0.010834748856723309,0.9745475053787231,0.09132519364356995,1.9999999949504854e-06
13,0.9969711899757385,0.010296179912984371,0.9711538553237915,0.09719592332839966,1.9999999949504854e-06
14,0.9979404211044312,0.008945552632212639,0.9745475053787231,0.09916470944881439,1.9999999949504854e-06
15,0.9985461831092834,0.008264901116490364,0.9694570302963257,0.10014346987009048,1.9999999949504854e-06
16,0.9980615377426147,0.008475320413708687,0.9728506803512573,0.09426005929708481,4.0000000467443897e-07
17,0.9987884759902954,0.007225309032946825,0.9739819169044495,0.0943870097398758,4.0000000467443897e-07
