epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8267506957054138,0.4639616310596466,0.915723979473114,0.24868568778038025,0.0010000000474974513
2,0.9085292220115662,0.26452240347862244,0.9338235259056091,0.2097332924604416,0.0010000000474974513
3,0.9237945079803467,0.21810932457447052,0.9377828240394592,0.18828356266021729,0.0010000000474974513
4,0.9320329427719116,0.19823624193668365,0.9417420625686646,0.17886415123939514,0.0010000000474974513
5,0.937484860420227,0.18262450397014618,0.9411764740943909,0.1742967814207077,0.0010000000474974513
6,0.9396656155586243,0.17354287207126617,0.9383484125137329,0.17848360538482666,0.0010000000474974513
7,0.9412406086921692,0.1673644483089447,0.9485294222831726,0.1556379348039627,0.0010000000474974513
8,0.944632887840271,0.15544947981834412,0.9490950107574463,0.16162386536598206,0.0010000000474974513
9,0.9463290572166443,0.15489530563354492,0.9445701241493225,0.15745185315608978,0.0010000000474974513
10,0.9485098123550415,0.15379229187965393,0.9445701241493225,0.16079145669937134,0.0010000000474974513
11,0.9557790160179138,0.13331195712089539,0.9519230723381042,0.14797459542751312,0.00020000000949949026
12,0.9516597986221313,0.13722480833530426,0.9507918357849121,0.14631371200084686,0.00020000000949949026
13,0.9504482746124268,0.14005741477012634,0.9519230723381042,0.14346349239349365,0.00020000000949949026
14,0.953719437122345,0.13275374472141266,0.9507918357849121,0.14833012223243713,0.00020000000949949026
15,0.9534770846366882,0.131741002202034,0.9541855454444885,0.14420859515666962,0.00020000000949949026
