class,precision,recall,f1_score,support
overripe,0.9559228650137741,0.9830028328611898,0.9692737430167597,353
ripe,0.9733333333333334,0.9659735349716446,0.969639468690702,529
rotten,0.9798319327731092,0.966832504145937,0.9732888146911519,603
unripe,0.9861111111111112,0.993006993006993,0.9895470383275261,286
