epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.9693481922149658,0.08589591085910797,0.9773755669593811,0.08147373795509338,9.999999747378752e-06
2,0.9779500961303711,0.06081784889101982,0.9773755669593811,0.07202540338039398,9.999999747378752e-06
3,0.9824327826499939,0.049530837684869766,0.9824660420417786,0.06453733891248703,9.999999747378752e-06
4,0.9867942929267883,0.03684603422880173,0.976244330406189,0.07292141020298004,9.999999747378752e-06
5,0.9904288649559021,0.025715535506606102,0.9785068035125732,0.06505626440048218,9.999999747378752e-06
6,0.9921250343322754,0.021952496841549873,0.9835972785949707,0.05689386650919914,9.999999747378752e-06
7,0.9950327277183533,0.017542216926813126,0.9796379804611206,0.06042741611599922,9.999999747378752e-06
8,0.9956384897232056,0.014681871980428696,0.9773755669593811,0.07150940597057343,9.999999747378752e-06
9,0.9950327277183533,0.014807605184614658,0.9824660420417786,0.06281838566064835,9.999999747378752e-06
10,0.9976980686187744,0.008275576867163181,0.9835972785949707,0.0600164458155632,1.9999999949504854e-06
11,0.9981827139854431,0.007630898617208004,0.9847285151481628,0.05688493698835373,1.9999999949504854e-06
12,0.9979404211044312,0.007901456207036972,0.9835972785949707,0.054935093969106674,1.9999999949504854e-06
13,0.9987884759902954,0.005740560591220856,0.9841628670692444,0.05702650174498558,1.9999999949504854e-06
14,0.998667299747467,0.00631015794351697,0.9841628670692444,0.058090582489967346,1.9999999949504854e-06
15,0.9987884759902954,0.005468103569000959,0.9835972785949707,0.058307401835918427,1.9999999949504854e-06
16,0.9990307688713074,0.005271647125482559,0.983031690120697,0.05637148767709732,4.0000000467443897e-07
17,0.998909592628479,0.005236410535871983,0.9835972785949707,0.057268038392066956,4.0000000467443897e-07
