class,precision,recall,f1_score,support
overripe,0.975,0.9943342776203966,0.9845722300140253,353
ripe,0.9849340866290018,0.9886578449905482,0.9867924528301887,529
rotten,0.9899328859060402,0.978441127694859,0.9841534612176814,603
unripe,1.0,0.993006993006993,0.9964912280701754,286
