epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8541313409805298,0.3847099542617798,0.935520350933075,0.1854630559682846,0.0010000000474974513
2,0.9365156292915344,0.19193242490291595,0.9496606588363647,0.1506844013929367,0.0010000000474974513
3,0.9480252265930176,0.1589176505804062,0.9570135474205017,0.13616931438446045,0.0010000000474974513
4,0.9516597986221313,0.1403363049030304,0.9638009071350098,0.1204443871974945,0.0010000000474974513
5,0.9578385949134827,0.12784184515476227,0.9649321436882019,0.11461957544088364,0.0010000000474974513
6,0.959534764289856,0.1217750683426857,0.9638009071350098,0.11445356160402298,0.0010000000474974513
7,0.9626847505569458,0.11025681346654892,0.9677602052688599,0.10301601886749268,0.0010000000474974513
8,0.9635328054428101,0.10901137441396713,0.9666289687156677,0.11156996339559555,0.0010000000474974513
9,0.966198205947876,0.10389699786901474,0.9700226187705994,0.09720414131879807,0.0010000000474974513
10,0.965107798576355,0.10588525235652924,0.9688913822174072,0.09669304639101028,0.0010000000474974513
11,0.966198205947876,0.10113801807165146,0.970588207244873,0.09771101176738739,0.0010000000474974513
12,0.9675309062004089,0.09577757865190506,0.9683257937431335,0.09776200354099274,0.0010000000474974513
13,0.9670462608337402,0.093119777739048,0.9728506803512573,0.09162450581789017,0.0010000000474974513
14,0.9704385995864868,0.08936909586191177,0.9677602052688599,0.10542339086532593,0.0010000000474974513
15,0.9668039679527283,0.09282491356134415,0.9722850918769836,0.08984304964542389,0.0010000000474974513
