metric,value
accuracy,0.987012987012987
precision_macro,0.9874667431337605
recall_macro,0.9886100608281992
f1_macro,0.9880023430330177
precision_weighted,0.9870890242959256
recall_weighted,0.987012987012987
f1_weighted,0.9870176358466702
