epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8535255789756775,0.3882404565811157,0.9406108856201172,0.18633195757865906,0.0010000000474974513
2,0.9311848878860474,0.19944296777248383,0.9547511339187622,0.14938083291053772,0.0010000000474974513
3,0.9460867643356323,0.1596032679080963,0.9536198973655701,0.13810981810092926,0.0010000000474974513
4,0.9476617574691772,0.14494988322257996,0.9643664956092834,0.12401988357305527,0.0010000000474974513
5,0.9566270709037781,0.12977586686611176,0.9643664956092834,0.10947632044553757,0.0010000000474974513
6,0.9586867094039917,0.12061452865600586,0.9677602052688599,0.10999681055545807,0.0010000000474974513
7,0.9602617025375366,0.11528357863426208,0.9660633206367493,0.10569331794977188,0.0010000000474974513
8,0.9611097574234009,0.11467859894037247,0.9677602052688599,0.10951841622591019,0.0010000000474974513
9,0.9596559405326843,0.11161834746599197,0.9700226187705994,0.10675350576639175,0.0010000000474974513
10,0.9614732265472412,0.10786338895559311,0.9660633206367493,0.10700546205043793,0.0010000000474974513
11,0.9669251441955566,0.0939207673072815,0.973416268825531,0.0965627059340477,0.00020000000949949026
12,0.9697116613388062,0.09181501716375351,0.9728506803512573,0.09616635739803314,0.00020000000949949026
13,0.9695904850959778,0.09504400938749313,0.970588207244873,0.09641973674297333,0.00020000000949949026
14,0.9698328375816345,0.08978787809610367,0.9728506803512573,0.09606041759252548,0.00020000000949949026
15,0.9697116613388062,0.09297744929790497,0.9728506803512573,0.09413735568523407,0.00020000000949949026
