epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.9689847230911255,0.09208834916353226,0.9728506803512573,0.08969463407993317,9.999999747378752e-06
2,0.9781923890113831,0.06495681405067444,0.9751130938529968,0.07306964695453644,9.999999747378752e-06
3,0.9823116064071655,0.04937824234366417,0.9773755669593811,0.0726277083158493,9.999999747378752e-06
4,0.9892173409461975,0.03653128817677498,0.9768099784851074,0.06607656180858612,9.999999747378752e-06
5,0.9900653958320618,0.02774016559123993,0.9796379804611206,0.07073111832141876,9.999999747378752e-06
6,0.9927307963371277,0.02437254786491394,0.9773755669593811,0.0672970786690712,9.999999747378752e-06
7,0.9943057894706726,0.017143702134490013,0.9779411554336548,0.06542958319187164,9.999999747378752e-06
8,0.9950327277183533,0.015339485369622707,0.9779411554336548,0.08577248454093933,9.999999747378752e-06
9,0.9961230754852295,0.013405525125563145,0.9835972785949707,0.06367281079292297,9.999999747378752e-06
10,0.9966077208518982,0.011196690611541271,0.9790723919868469,0.07035254687070847,9.999999747378752e-06
11,0.9976980686187744,0.009810258634388447,0.9807692170143127,0.060126177966594696,9.999999747378752e-06
12,0.9985461831092834,0.0067406888119876385,0.9802036285400391,0.06543806940317154,9.999999747378752e-06
13,0.9985461831092834,0.0066772098653018475,0.983031690120697,0.06410408765077591,9.999999747378752e-06
14,0.9981827139854431,0.005854669492691755,0.983031690120697,0.0674513727426529,9.999999747378752e-06
15,0.9998788237571716,0.0033669096883386374,0.9835972785949707,0.06540187448263168,1.9999999949504854e-06
16,0.9995154142379761,0.0034198244102299213,0.9841628670692444,0.06615843623876572,1.9999999949504854e-06
