class,precision,recall,f1_score,support
overripe,0.9886685552407932,0.9886685552407932,0.9886685552407932,353
ripe,0.9776119402985075,0.9905482041587902,0.984037558685446,529
rotten,0.9899159663865547,0.9767827529021559,0.9833055091819699,603
unripe,0.9930313588850174,0.9965034965034965,0.9947643979057592,286
