metric,value
accuracy,0.9864483342744212
precision_macro,0.9873069552027182
recall_macro,0.9881257522013089
f1_macro,0.9876940052534922
precision_weighted,0.9864952076736972
recall_weighted,0.9864483342744212
f1_weighted,0.9864436523898227
