epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.8300217986106873,0.4460189640522003,0.9259049892425537,0.2322973608970642,0.0010000000474974513
2,0.9182214736938477,0.23912450671195984,0.935520350933075,0.18957778811454773,0.0010000000474974513
3,0.9286406636238098,0.2008669078350067,0.9462669491767883,0.17231306433677673,0.0010000000474974513
4,0.937484860420227,0.18466684222221375,0.9428732991218567,0.1634119749069214,0.0010000000474974513
5,0.9402713775634766,0.1698167622089386,0.9479637742042542,0.15850302577018738,0.0010000000474974513
6,0.9419675469398499,0.15850022435188293,0.942307710647583,0.16654354333877563,0.0010000000474974513
7,0.9466925263404846,0.15747341513633728,0.9445701241493225,0.14744803309440613,0.0010000000474974513
8,0.9491155743598938,0.14737090468406677,0.9496606588363647,0.14449450373649597,0.0010000000474974513
9,0.9488732814788818,0.14514032006263733,0.9524886608123779,0.13720613718032837,0.0010000000474974513
10,0.9494790434837341,0.1444355994462967,0.9496606588363647,0.13912014663219452,0.0010000000474974513
11,0.9498425126075745,0.13759762048721313,0.9479637742042542,0.13756468892097473,0.0010000000474974513
12,0.9549309611320496,0.1292673796415329,0.9513574838638306,0.13483333587646484,0.0010000000474974513
13,0.9521444439888,0.13344302773475647,0.9536198973655701,0.12617313861846924,0.0010000000474974513
14,0.9516597986221313,0.13110420107841492,0.9519230723381042,0.15243268013000488,0.0010000000474974513
15,0.9554155468940735,0.12667228281497955,0.9519230723381042,0.12969200313091278,0.0010000000474974513
