metric,value
accuracy,0.9768492377188029
precision_macro,0.9771546091796067
recall_macro,0.9776554304443776
f1_macro,0.9773665524141935
precision_weighted,0.9769321088778918
recall_weighted,0.9768492377188029
f1_weighted,0.9768418641955737
