class,precision,recall,f1_score,support
overripe,0.9745042492917847,0.9745042492917847,0.9745042492917847,353
ripe,0.9684601113172542,0.9867674858223062,0.9775280898876404,529
rotten,0.9831365935919055,0.966832504145937,0.9749163879598662,603
unripe,0.9825174825174825,0.9825174825174825,0.9825174825174825,286
